Site;Type;Season;Site #;Moment;2378-TCDD_A;12378-PeCDD_A;123478-HxCDD_A;123678-HxCDD_A;123789-HxCDD_A;1234678-HpCDD_A;OCDD_A;2378-TCDF_A;12378-PeCDF_A;23478-PeCDF_A;123478-HxCDF_A;123678-HxCDF_A;234678-HxCDF_A;123789-HxCDF_A;1234678-HpCDF_A;1234789-HpCDF_A;OCDF_A;2378-TCDD_C;12378-PeCDD_C;123478-HxCDD_C;123678-HxCDD_C;123789-HxCDD_C;1234678-HpCDD_C;OCDD_C;2378-TCDF_C;12378-PeCDF_C;23478-PeCDF_C;123478-HxCDF_C;123678-HxCDF_C;234678-HxCDF_C;123789-HxCDF_C;1234678-HpCDF_C;1234789-HpCDF_C;OCDF_C
Arkadelphia, AR;Rural;Fall;10;3;0.00151099170865493;0.00943911908062875;0.00897591306574977;0.0275549099930716;0.0236852970839111;0.262539167845788;0.601249354230673;0.0015635134012055;0.00171953372238348;0.00293393234515287;0.00368755242461516;0.00337683585949911;0.0045960894290864;0.0014836274662106;0.0202735938788329;0.00347525886207481;0.0219353096024618;0.0738627169667786;0.130412246946912;0.0371279469122733;0.11397806862669;0.09797181036528;0.526250927857354;0.4190687221563;0.0235948807314745;0.0491785689592877;0.0839103021242214;0.0975157128037606;0.0892989489891037;0.121541576953706;0.039233880157748;0.591565892691648;0.101405040633881;0.112343943195481
Arkadelphia, AR;Rural;Fall;10;13;0.0;0.00233624760540726;0.00431783229896424;0.00939177574375277;0.00965588642364601;0.18269969408155;0.692964544280459;0.00158164566706895;0.00192272574372344;0.0038318686522511;0.00541200511183406;0.00466343999003217;0.00723210499320917;0.000401448231292512;0.0354617635625691;0.00523542825965192;0.0328915893545876;0.0;0.153815580240277;0.039612322591781;0.0861613014846457;0.0885842852245133;0.515061650659989;0.586723180453796;0.0232439505954883;0.0539510460261763;0.107520962206244;0.114704282970983;0.0988388830352692;0.153280235416443;0.00850846046314463;0.589251680278495;0.0869946835422958;0.134835492523619
Arkadelphia, AR;Rural;Fall;10;17;0.000397262688102479;0.00244921082940588;0.00359263647567142;0.00609107333471466;0.00690459822841419;0.159310110142278;0.733616368648236;0.00223935249532826;0.00197681367598783;0.00347518489890213;0.00499255564162192;0.0047429710401206;0.00620852491148394;0.000462033777298039;0.0364212158878741;0.00485092285698714;0.0222691644675733;0.0242795313459701;0.126675004497237;0.0399538993394828;0.0677391471507331;0.0767864003123434;0.44684010368009;0.603422752286927;0.0224527435883871;0.0584256470282839;0.102710704973152;0.0982979374356746;0.0933838907420829;0.122239036903075;0.00909693763958864;0.679278408333427;0.0904727389493751;0.0855691279385159
Arkadelphia, AR;Rural;Fall;10;21;0.00022440984373895;0.00196665183861104;0.00380331764796943;0.00620100806563654;0.00688588728829151;0.16286973593597;0.768881773698635;0.000863610012358059;0.00114473545800306;0.00183421324235717;0.002710086087644;0.00241761752182551;0.0035307761852707;0.000214293006546751;0.0170229581642228;0.00228579206706228;0.017143133935857;0.0245876860313142;0.075587971911335;0.0443095165784289;0.0722431558757624;0.0802221547602374;0.451521196169547;0.614822425156405;0.02266564749826;0.0470638651677182;0.0754105799061481;0.0951233159626585;0.0848577454620243;0.123929324679465;0.00752162872732046;0.529448782696447;0.0710928039491293;0.122266875424829
Arkadelphia, AR;Rural;Fall;10;25;0.000624604852278689;0.00476022679039808;0.007002952561723;0.0122656618720672;0.0132617221540917;0.195664148320713;0.607431398400712;0.00256202478830368;0.00318026910244005;0.00574483810600065;0.00873047473681714;0.0080537134740057;0.0119489070681111;0.000903196425146596;0.0470336358007602;0.00773059813190727;0.0631016274145235;0.0247106190485656;0.077346010744251;0.039048091927098;0.0683926798169457;0.0739466591013425;0.430240559344851;0.457274738282292;0.0229084911585972;0.0432585825180651;0.0781423034518315;0.0893596520761618;0.0824327491520373;0.122301502551059;0.00924455092541246;0.609080276103481;0.100110373447911;0.149043315242842
Arkadelphia, AR;Rural;Fall;10;28;0.000592662104026404;0.00331211685238493;0.00449435427784699;0.00785277285322447;0.00784968607592328;0.127570517501579;0.703931325321603;0.00317938523800968;0.00371031170080025;0.00614269574756259;0.00873867922931811;0.00779103721727819;0.00949494076304813;0.000839604642521981;0.0459837882206263;0.00593588136687807;0.052580240887369;0.0178041543540667;0.0857713828812354;0.0373103731166939;0.0651906518804312;0.0651650266613862;0.425934514344007;0.588669416686667;0.0188852218653814;0.0308529479495378;0.0510793398108627;0.077166298709458;0.068798211879429;0.0838444135461365;0.00741407035806193;0.566705976322324;0.0731540304859275;0.0981747134065446
Arkadelphia, AR;Rural;Spring;10;5;0.000614788067370371;0.0032449479335879;0.00445668891366463;0.00837307773916216;0.00946626743695376;0.148937130048623;0.711080033672618;0.00356598060744496;0.00304876129834087;0.00459097709116579;0.00646156945050237;0.00574921262926952;0.00785480929813218;0.00215805298771738;0.0370226212591694;0.00401710495752245;0.0393579766087553;0.0497706812714948;0.158023808401197;0.0333770713225739;0.062707722774321;0.0708948480637751;0.395823806937548;0.567156323363428;0.0180176837280654;0.0462864151450652;0.0697003965770709;0.100056859711982;0.0890260742235702;0.121631061621799;0.0334172690856514;0.647837421051123;0.0702929945871535;0.0926358053493003
Arkadelphia, AR;Rural;Spring;10;6;0.000189066155319925;0.000900658821251493;0.00260180298681096;0.00376868861464351;0.0040229577751206;0.0945179613687609;0.87555656634214;0.000756715853599553;0.000488458504407922;0.000727837013416609;0.00105926682515483;0.00107551117263987;0.00129074877610947;0.000442884084420084;0.00592016219130019;0.00101707664473713;0.00566363687016676;0.0527641354916857;0.172731599691864;0.0551749215292714;0.0799203858383158;0.0853125239240026;0.43952473355821;0.763640889490942;0.0269807177330162;0.0415786441663939;0.0619550604992788;0.0743303147466274;0.0754702045579034;0.0905737445076852;0.0310778291262023;0.624093233576171;0.107218456437153;0.0818505802215736
Arkadelphia, AR;Rural;Spring;10;11;0.000562201529502165;0.00308412259794411;0.0056363897717257;0.0149686157396308;0.0128555685101787;0.205979779910495;0.679267221409176;0.00191020747258316;0.00184232802474012;0.00255865582666174;0.00346903898685095;0.00302422896917192;0.00431872993636087;0.00122103144837284;0.0227452045161435;0.0;0.0365566753504621;0.04750016863243;0.138860923332878;0.0354116389805461;0.0940430378447793;0.0807674361442792;0.448657759521236;0.5101200346476;0.020696159281565;0.0524437371794623;0.0728347351308823;0.0853521957201846;0.0744080951115885;0.106257982163961;0.0300422438482377;0.53911529229061;0.0;0.148112078196797
Arkadelphia, AR;Rural;Spring;10;15;0.0;0.00427503753278643;0.00426075765676412;0.00893563168110525;0.00865717412029436;0.157598053687857;0.717951052102528;0.00380737162858119;0.00278100562211285;0.00427682251342777;0.00540314763969562;0.00594042793101442;0.00715600228087712;0.0;0.0401942777052208;0.0;0.0287632378977356;0.0;0.0988444078204089;0.0366920298390975;0.0769502728590531;0.0745523018986595;0.423151578515621;0.561834839784571;0.0312257535544653;0.054005338085672;0.0830531387400078;0.0665377090873777;0.0731541116190261;0.0881234476169961;0.0;0.71207665305222;0.0;0.0846376872595754
